filename,snr_improvement_db,rms_reduction_db,original_duration_seconds,enhanced_duration_seconds,sample_rate,enhanced_wav_path
dia184_utt1.mp4,-4.202969981254547,-2.1339964018656663,2.688,2.688,16000,enhanced_audio/dia184_utt1_enhanced.wav
dia265_utt4.mp4,-2.173337455375309,1.8903527493381034,6.4,6.4,16000,enhanced_audio/dia265_utt4_enhanced.wav
dia892_utt13.mp4,-3.0240636024301635,-0.05528072975213536,7.466666666666667,7.4666875,16000,enhanced_audio/dia892_utt13_enhanced.wav
dia658_utt14.mp4,-2.4642648068121424,1.1538029514572086,2.3893333333333335,2.3893125,16000,enhanced_audio/dia658_utt14_enhanced.wav
dia1_utt4.mp4,-6.94954128153457,-5.940196434166888,1.1733333333333333,1.1733125,16000,enhanced_audio/dia1_utt4_enhanced.wav
dia666_utt11.mp4,-2.418188824305566,1.0040287876764025,1.3013333333333332,1.3013125,16000,enhanced_audio/dia666_utt11_enhanced.wav
dia63_utt2.mp4,-2.9087958712987594,0.21770725081763695,5.930666666666666,5.9306875,16000,enhanced_audio/dia63_utt2_enhanced.wav
dia667_utt2.mp4,-3.8272185735264044,-1.5954183431054438,1.5146666666666666,1.5146875,16000,enhanced_audio/dia667_utt2_enhanced.wav
dia428_utt5.mp4,-2.7316571391661286,0.6157079158819935,2.517333333333333,2.5173125,16000,enhanced_audio/dia428_utt5_enhanced.wav
dia185_utt1.mp4,-1.965091932308804,2.813368956938405,1.216,1.216,16000,enhanced_audio/dia185_utt1_enhanced.wav
dia615_utt9.mp4,-2.7253204649210665,0.5897343868194911,2.7306666666666666,2.7306875,16000,enhanced_audio/dia615_utt9_enhanced.wav
dia891_utt2.mp4,-1.3412405423774505,4.395372064120615,0.704,0.704,16000,enhanced_audio/dia891_utt2_enhanced.wav
dia11_utt9.mp4,-5.620910577470005,-4.298874020381259,6.72,6.72,16000,enhanced_audio/dia11_utt9_enhanced.wav
dia401_utt2.mp4,-1.112720615766489,5.385718675548654,3.562666666666667,3.5626875,16000,enhanced_audio/dia401_utt2_enhanced.wav
dia295_utt13.mp4,-4.382298535939445,-2.4205735963250024,2.6453333333333333,2.6453125,16000,enhanced_audio/dia295_utt13_enhanced.wav
dia64_utt11.mp4,-3.2736915205581587,-0.37829497725316275,2.176,2.176,16000,enhanced_audio/dia64_utt11_enhanced.wav
dia1029_utt11.mp4,-2.805610321646098,0.5011739757754567,5.930666666666666,5.9306875,16000,enhanced_audio/dia1029_utt11_enhanced.wav
dia0_utt4.mp4,-0.6942725814936077,7.676125585793817,6.485333333333333,6.4853125,16000,enhanced_audio/dia0_utt4_enhanced.wav
dia916_utt7.mp4,-1.87037038998288,2.52654367142189,2.965333333333333,2.9653125,16000,enhanced_audio/dia916_utt7_enhanced.wav
dia264_utt4.mp4,-2.814285323392464,0.4448849562403011,2.965333333333333,2.9653125,16000,enhanced_audio/dia264_utt4_enhanced.wav
dia705_utt6.mp4,-2.9212955868703,0.0016230027123782505,2.56,2.56,16000,enhanced_audio/dia705_utt6_enhanced.wav
dia281_utt5.mp4,-2.412193506935884,1.1547493740895347,1.7706666666666666,1.7706875,16000,enhanced_audio/dia281_utt5_enhanced.wav
dia563_utt6.mp4,-0.15405318043558824,17.275380922840395,0.5546666666666666,0.5546875,16000,enhanced_audio/dia563_utt6_enhanced.wav
dia806_utt8.mp4,-3.0667225761877948,-0.0793950352943183,3.2213333333333334,3.2213125,16000,enhanced_audio/dia806_utt8_enhanced.wav
dia682_utt3.mp4,-1.136542729869348,5.0753628811312455,7.061333333333334,7.0613125,16000,enhanced_audio/dia682_utt3_enhanced.wav
dia86_utt3.mp4,-3.516390758394322,-1.0027356092625974,4.842666666666666,4.8426875,16000,enhanced_audio/dia86_utt3_enhanced.wav
dia496_utt8.mp4,-1.8219873451249033,2.8244692571084116,1.0026666666666666,1.0026875,16000,enhanced_audio/dia496_utt8_enhanced.wav
dia160_utt0.mp4,-3.1728452479052374,0.17906791004052985,0.5333333333333333,0.5333125,16000,enhanced_audio/dia160_utt0_enhanced.wav
dia306_utt0.mp4,-4.401490719546937,-2.4443773725697984,4.714666666666667,4.7146875,16000,enhanced_audio/dia306_utt0_enhanced.wav
dia874_utt3.mp4,-1.9645873326668766,2.324511513829857,2.56,2.56,16000,enhanced_audio/dia874_utt3_enhanced.wav
dia562_utt6.mp4,-2.90622400143171,0.3180980447978191,1.8773333333333333,1.8773125,16000,enhanced_audio/dia562_utt6_enhanced.wav
dia875_utt3.mp4,-4.629421796356322,-2.7802537015003717,3.712,3.712,16000,enhanced_audio/dia875_utt3_enhanced.wav
dia630_utt13.mp4,-2.4811695914647784,1.1641902089688165,11.178666666666667,11.1786875,16000,enhanced_audio/dia630_utt13_enhanced.wav
dia307_utt0.mp4,-2.35350602980788,1.8781800250016882,1.344,1.344,16000,enhanced_audio/dia307_utt0_enhanced.wav
dia148_utt7.mp4,-2.2951022944173602,1.578590247465868,1.792,1.792,16000,enhanced_audio/dia148_utt7_enhanced.wav
dia87_utt3.mp4,-1.0862463427882216,5.273072382872397,0.448,0.448,16000,enhanced_audio/dia87_utt3_enhanced.wav
dia161_utt0.mp4,-0.9426450654298495,6.08846726845451,2.005333333333333,2.0053125,16000,enhanced_audio/dia161_utt0_enhanced.wav
dia720_utt11.mp4,-2.554691641567282,0.9739619883564394,6.634666666666667,6.6346875,16000,enhanced_audio/dia720_utt11_enhanced.wav
dia32_utt13.mp4,-3.071155865539343,-0.21758319205206242,0.32,0.32,16000,enhanced_audio/dia32_utt13_enhanced.wav
